0,gut microbiome contributes approximately 2 kg whole body weight recent studies suggest gut microbiota profound effect human metabolism potentially contributing several features metabolic syndrome metabolic syndrome defined clustering metabolic disorders include central adiposity visceral fat accumulation dyslipidemia insulin resistance blood pressure levels metabolic syndrome associated increased risk cardiovascular diseases type 2 diabetes estimated around 20-25 percent world's adult population metabolic syndrome manuscript reviewed existing data linking gut microbiome metabolic syndrome existing evidence studies animals humans support link gut microbiome various components metabolic syndrome possible pathways include involvement energy homeostasis metabolic processes modulation inflammatory signaling pathways immune system interference system modification gut microbiota via prebiotics probiotics dietary interventions provided evidence support possible beneficial effect interventions targeting gut microbiota modulation treat components complications metabolic syndrome (c) 2016 diabetes india published elsevier ltd rights reserved
1,management chronic cardiovascular diseases evolved greatly last decades last thirty years management acute coronary syndrome improved leading important lowering mortality acute phase event consequently optimal management secondary prevention acute coronary syndrome greatly evolved moreover increased number pharmacological alternatives patients affected chronic heart failure non-valvular atrial fibrillation number challenges correct management moreover diseases without reasonable doubt largest contributor global mortality present continue future aim study provide updated information real-life drug use effectiveness review performed assess potential knowledge gaps treatments diseases indicate potential perspective research area (c) 2016 published elsevier ltd
2,accumulated data shown alternatively activated macrophage exerts modulatory role many diseases including colitis critical modulator adaptive innate immune implicated autoimmunity inflammation previously reported il-33 functions protective modulator tnbs-induced colitis closely related switch present novel evidence suggesting il-33 primes macrophage alternatively activated macrophages tnbs-induced colitis strong effect il-33 tightly associated markedly increased induction cytokines confirm beneficial effects aam induced il-33 peritoneal isolated mice transferred recipient mice colitis transfer resulted prominent inhibition disease activity inflammatory cytokines mice conclusion data provide clear evidence il-33 plays protective role tnbs-induced colitis closely related aam polarization
3,kernel rx detector proposed exploits kernel function obtain better detection performance however still two limits improved one hand reasonable integration spatial-spectral information used improve detection accuracy hand parallel computing used reduce processing time available krx detectors accordingly paper presents novel weighted spatial-spectral kernel rx detector parallel implementation graphics processing units (gpus) wsskrx utilizes spatial neighborhood resources reconstruct testing pixels introducing spectral factor spatial window thereby effectively reducing interference background noise kernel function mapping trick krx detector implement anomaly detection addition powerful architecture based gpu technique designed accelerate wsskrx substantiate performance proposed algorithm synthetic real data conducted experiments
4,sustainability building projects become great concern construction professionals number different green building rating systems developed help ensure building projects designed built using strategies intended minimize eliminate impacts environment united states although leadership energy environmental design (leed) green building rating system widely accepted national standard sustainable building design assessment green buildings challenging time-consuming owing complicated process green building rating process could accelerated facilitated using computer technology building information modeling (bim) innovative new approach building design engineering construction management widely used architecture engineering construction industry enable green building rating building design bim applications building information must represented way knowledge contained leed green building criteria extracted bim model support assessment paper building knowledge framework representing leed green building criteria presented proposed framework implemented bim platform obtain automated tool rating green building design development automated green building rating system results implementation discussed (c) 2015 american society civil engineers
5,tobacco smoking preventable environmental factor contributes wide spectrum age-related health outcomes; however association development frailty yet well established examined associations self-reported smoking indicators serum cotinine levels smoking-related dna methylation biomarkers quantitative frailty index 2 independent subsets older adults (age recruited germany 2000 - 2002 set: n = 978 validation set: n = obtained dna methylation profiles whole blood samples illumina calculated fi according method mixed linear regression models implemented assess associations smoking indicators fi controlling potential covariates current smoking cumulative smoking exposure time smoking cessation significantly associated fi < 005) discovery panel 17 151 previously identified smoking-related cpg sites associated fi correction multiple testing < 005) nine survived validation phase designated loci smoking index (si) based 9 loci manifested association fi conclusion study suggested epigenetic alterations could play role development frailty identified cpg sites potential prognostic biomarkers frailty health outcomes findings underlying mechanisms followed longitudinal studies
6,turbocompounding process recovering proportion fuel energy would otherwise lost exhaust process adding output power first seen carried coupling exhaust gas turbine crankshaft engine since recognised coupling power turbine electrical generator instead crankshaft potential reduce fuel consumption added flexibility able decide recovered energy used electricity generated used automotive applications assist crankshaft using motor generator power would otherwise run crankshaft case stationary power plants assist electrical power output decoupling power turbine crankshaft coupling generator allows power electronics control turbine speed independently order optimise specific fuel consumption different engine operating conditions method energy termed paper gives brief history turbocompounding thermodynamic merits moves give account validation engine model model used investigate needs done engine turbogenerator installed engine modelled used stationary power generation induced biogas small portion palm oil injected cylinder initiate combustion compression ignition investigations optimum settings found result improvement overall efficiency savings relate engine without turbogenerator installed operating fixed
7,two studies examined whether belief occurrence events events belief accuracy recollections distinct aspects remembering study student participants received cue recall five childhood events rated event constructs characteristics associated remembering structural equation modelling revealed variance ratings best explained three anticipated latent variables study 2 online sample adults recalled rated childhood event event uncertain confirmatory modelling replicated three latent variables relationship key predictors detail spatial detail event latent variables confirmed distinction studies demonstrate belief occurrence belief accuracy appraisals distinct former indexing truth status event latter degree event representation accurately reflects prior experience suggest belief accuracy indexes monitoring quality recollections (c) 2014 elsevier bv rights reserved
8,aimswe investigated 4-year outcomes three protocols pelvic floor physical therapy anticholinergic drug women wet bladder (oab) methodsone hundred sixty-four women randomly allocated one four interventions: drug therapy bladder training (bt) pelvic floor muscle training combined pelvic floor rehabilitation includes bt pfmt behavioral advice active treatment group lasted 3 months 132 women completed 1-year follow-up 120 women responded questionnaires therefore included study outcome measures number voids per day number urgency urinary incontinence (uui) episodes per week completely dry rate incontinence quality life questionnaire 4 years 4 years follow-up outcome measures improved significantly equally four groups median number uui dropped 3 1 2 2 dt bt pfmt cpfr groups respectively (p=ns) dry rates 25% 31% 34% dt bt pfmt cpfr groups respectively (p=ns) scores improved significantly four groups suffer may experience degree long-term improvement following various pelvic floor physical therapy protocols would drug therapy neurourol urodynam 2017 (c) 2016 wiley periodicals inc
9,schizophrenia (sz) debilitating brain disorder complex genetic architecture genetic studies especially recent genome-wide association studies (gwas) identified multiple variants conferring risk sz however efficiently extract meaningful biological information bulk genetic findings sz remains major challenge pressing need integrate multiple layers data various sources eg genetic findings copy number variations (cnvs) association linkage studies gene expression protein-protein interaction expression quantitative trait loci dna elements data provide comprehensive resource facilitate translation genetic findings sz molecular diagnosis mechanism study developed szdb database szdb comprehensive resource sz research sz genetic data gene expression data network-based data brain data snp function annotation information systematically extracted curated deposited szdb in-depth analyses systematic integration performed identify top prioritized sz genes enriched pathways multiple types data various layers sz research systematically integrated deposited szdb in-depth data analyses integration identified top prioritized sz genes enriched pathways showed genes implicated sz highly co-expressed human brain proteins encoded prioritized sz risk genes significantly interacted user-friendly szdb provides candidate variants genes functional characterization important szdb provides convenient online tools data search data integration customized data analyses
